Date,CU,FFR,INFL
2003-01-01,75.9737,1.24,2.757456387169399
2003-02-01,76.0964,1.26,3.146067415730336
2003-03-01,75.9158,1.25,3.025210084033625
2003-04-01,75.471,1.26,2.175125488008911
2003-05-01,75.4753,1.26,1.8941504178273005
2003-06-01,75.6024,1.22,1.948775055679297
2003-07-01,76.0121,1.01,2.055555555555544
2003-08-01,75.865,1.03,2.216066481994461
2003-09-01,76.3685,1.01,2.378318584070782
2003-10-01,76.4833,1.01,2.041942604856528
2003-11-01,77.0141,1.0,1.9283746556473913
2003-12-01,77.0642,0.98,2.0352035203520247
2004-01-01,77.2041,1.0,2.026286966046009
2004-02-01,77.6963,1.01,1.688453159041381
2004-03-01,77.4077,1.0,1.7400761283306032
2004-04-01,77.7236,1.0,2.2925764192139875
2004-05-01,78.3145,1.0,2.8977583378895444
2004-06-01,77.724,1.03,3.1676679410158393
2004-07-01,78.305,1.26,2.939575394665228
2004-08-01,78.3738,1.43,2.5474254742547275
2004-09-01,78.4547,1.61,2.5391680172879516
2004-10-01,79.1352,1.76,3.1909140075716547
2004-11-01,79.3,1.93,3.621621621621607
2004-12-01,79.8779,2.16,3.3423180592991875
2005-01-01,80.1076,2.28,2.8448738593666034
2005-02-01,80.6185,2.5,3.0530262453133394
2005-03-01,80.4254,2.63,3.2068412613575736
2005-04-01,80.5049,2.79,3.3617929562433257
2005-05-01,80.4835,3.0,2.869287991498415
2005-06-01,80.7304,3.04,2.541026998411855
2005-07-01,80.3636,3.26,3.067160232681121
2005-08-01,80.5144,3.5,3.6469344608879517
2005-09-01,78.8408,3.62,4.741833508956805
2005-10-01,79.6882,3.78,4.350104821802936
2005-11-01,80.4459,4.0,3.3385498174230532
2005-12-01,80.7149,4.16,3.3385498174230532
2006-01-01,80.7219,4.29,4.018789144050117
2006-02-01,80.6346,4.49,3.63825363825363
2006-03-01,80.693,4.59,3.4179181771103018
2006-04-01,80.8033,4.79,3.613835828600931
2006-05-01,80.6874,4.94,3.9772727272727293
2006-06-01,80.8131,4.99,4.1817243159525175
2006-07-01,80.6047,5.24,4.104669061056954
2006-08-01,80.7869,5.25,3.926568077511483
2006-09-01,80.4643,5.25,2.012072434607637
