date,gate_value,oil_slope,reason,gate_type,calculation_date
2015-01-02,0.6517450682852808,0.0060698027314112345,oil_contango_moderate,oil,2025-11-04
2015-01-05,0.17627213454224225,-0.01294911461831031,oil_backwardation_moderate,oil,2025-11-04
2015-01-06,0.7183901210968012,0.00873560484387205,oil_contango_moderate,oil,2025-11-04
2015-01-07,1.0,0.02180124152569516,oil_contango_strong,oil,2025-11-04
2015-01-08,1.0,0.03461312436809713,oil_contango_strong,oil,2025-11-04
2015-01-09,1.0,0.04047258677941572,oil_contango_strong,oil,2025-11-04
2015-01-12,1.0,0.05876371814045585,oil_contango_strong,oil,2025-11-04
2015-01-13,1.0,0.07120856304534508,oil_contango_strong,oil,2025-11-04
2015-01-14,1.0,0.07620835529246502,oil_contango_strong,oil,2025-11-04
2015-01-15,1.0,0.09004765394867645,oil_contango_strong,oil,2025-11-04
2015-01-16,1.0,0.09798763581681288,oil_contango_strong,oil,2025-11-04
2015-01-20,1.0,0.10459833910327954,oil_contango_strong,oil,2025-11-04
2015-01-21,1.0,0.0905099149118276,oil_contango_strong,oil,2025-11-04
2015-01-22,1.0,0.08911715466268902,oil_contango_strong,oil,2025-11-04
2015-01-23,1.0,0.07233462454961266,oil_contango_strong,oil,2025-11-04
2015-01-26,1.0,0.08165157686673255,oil_contango_strong,oil,2025-11-04
2015-01-27,1.0,0.07104038177164537,oil_contango_strong,oil,2025-11-04
2015-01-28,1.0,0.08839725357497819,oil_contango_strong,oil,2025-11-04
2015-01-29,1.0,0.09738660214218373,oil_contango_strong,oil,2025-11-04
2015-01-30,1.0,0.09420603892357293,oil_contango_strong,oil,2025-11-04
2015-02-02,1.0,0.07913456502944674,oil_contango_strong,oil,2025-11-04
2015-02-03,1.0,0.06264024680276019,oil_contango_strong,oil,2025-11-04
2015-02-04,1.0,0.04129438722480919,oil_contango_strong,oil,2025-11-04
2015-02-05,0.8599633705998703,0.014398534823994807,oil_contango_moderate,oil,2025-11-04
2015-02-06,0.2701661086240224,-0.009193355655039103,oil_neutral,oil,2025-11-04
2015-02-09,0.0,-0.037059523297051825,oil_backwardation_strong,oil,2025-11-04
2015-02-10,0.0,-0.04020814314328161,oil_backwardation_strong,oil,2025-11-04
2015-02-11,0.0,-0.061062158606239834,oil_backwardation_strong,oil,2025-11-04
2015-02-12,0.0,-0.08726014784505631,oil_backwardation_strong,oil,2025-11-04
2015-02-13,0.0,-0.10992358206444544,oil_backwardation_strong,oil,2025-11-04
2015-02-17,0.0,-0.12466207810432277,oil_backwardation_strong,oil,2025-11-04
2015-02-18,0.0,-0.14403069457905526,oil_backwardation_strong,oil,2025-11-04
2015-02-19,0.0,-0.14799641971310182,oil_backwardation_strong,oil,2025-11-04
2015-02-20,0.0,-0.129908799163101,oil_backwardation_strong,oil,2025-11-04
2015-02-23,0.0,-0.10491165758726786,oil_backwardation_strong,oil,2025-11-04
2015-02-24,0.0,-0.07045201576797014,oil_backwardation_strong,oil,2025-11-04
2015-02-25,0.0,-0.03472057895624899,oil_backwardation_strong,oil,2025-11-04
2015-02-26,0.25658751602097946,-0.009736499359160822,oil_neutral,oil,2025-11-04
2015-02-27,0.39346395907719756,-0.004261441636912098,oil_neutral,oil,2025-11-04
2015-03-02,0.4601640475020388,-0.001593438099918449,oil_neutral,oil,2025-11-04
2015-03-03,0.4015818396381822,-0.00393672641447271,oil_neutral,oil,2025-11-04
2015-03-04,0.05328490011688759,-0.017868603995324497,oil_backwardation_moderate,oil,2025-11-04
2015-03-05,0.05948902346508012,-0.017620439061396796,oil_backwardation_moderate,oil,2025-11-04
2015-03-06,0.6152796477987684,0.004611185911950736,oil_contango_moderate,oil,2025-11-04
2015-03-09,0.8528747746860911,0.014114990987443645,oil_contango_moderate,oil,2025-11-04
2015-03-10,1.0,0.025133761162451584,oil_contango_strong,oil,2025-11-04
2015-03-11,1.0,0.04930515278358885,oil_contango_strong,oil,2025-11-04
2015-03-12,1.0,0.06460505605354597,oil_contango_strong,oil,2025-11-04
2015-03-13,1.0,0.08463086520808863,oil_contango_strong,oil,2025-11-04
2015-03-16,1.0,0.13875813611660243,oil_contango_strong,oil,2025-11-04
2015-03-17,1.0,0.19027324089950998,oil_contango_strong,oil,2025-11-04
2015-03-18,1.0,0.2250695114139325,oil_contango_strong,oil,2025-11-04
2015-03-19,1.0,0.26067952121808846,oil_contango_strong,oil,2025-11-04
2015-03-20,1.0,0.26480941349120324,oil_contango_strong,oil,2025-11-04
2015-03-23,1.0,0.2457244000300102,oil_contango_strong,oil,2025-11-04
2015-03-24,1.0,0.2250748531274506,oil_contango_strong,oil,2025-11-04
2015-03-25,1.0,0.20508369161139553,oil_contango_strong,oil,2025-11-04
2015-03-26,1.0,0.16511755183708385,oil_contango_strong,oil,2025-11-04
2015-03-27,1.0,0.1571332050794776,oil_contango_strong,oil,2025-11-04
2015-03-30,1.0,0.16077838969814393,oil_contango_strong,oil,2025-11-04
2015-03-31,1.0,0.16999775512610726,oil_contango_strong,oil,2025-11-04
2015-04-01,1.0,0.17617021506839964,oil_contango_strong,oil,2025-11-04
2015-04-02,1.0,0.19987894617265192,oil_contango_strong,oil,2025-11-04
2015-04-06,1.0,0.19808515895577078,oil_contango_strong,oil,2025-11-04
2015-04-07,1.0,0.18331156586387362,oil_contango_strong,oil,2025-11-04
2015-04-08,1.0,0.16733896465393436,oil_contango_strong,oil,2025-11-04
2015-04-09,1.0,0.16544865595280092,oil_contango_strong,oil,2025-11-04
2015-04-10,1.0,0.15503545384014683,oil_contango_strong,oil,2025-11-04
2015-04-13,1.0,0.1569246477803203,oil_contango_strong,oil,2025-11-04
2015-04-14,1.0,0.15806572239773936,oil_contango_strong,oil,2025-11-04
2015-04-15,1.0,0.13710627927499724,oil_contango_strong,oil,2025-11-04
2015-04-16,1.0,0.11388758516235101,oil_contango_strong,oil,2025-11-04
2015-04-17,1.0,0.0978381108937289,oil_contango_strong,oil,2025-11-04
2015-04-20,1.0,0.067374504476415,oil_contango_strong,oil,2025-11-04
2015-04-21,1.0,0.052520267357632835,oil_contango_strong,oil,2025-11-04
2015-04-22,1.0,0.053856129522093885,oil_contango_strong,oil,2025-11-04
2015-04-23,1.0,0.05122443663570062,oil_contango_strong,oil,2025-11-04
2015-04-24,1.0,0.042513905930354104,oil_contango_strong,oil,2025-11-04
2015-04-27,1.0,0.04623371691386285,oil_contango_strong,oil,2025-11-04
2015-04-28,1.0,0.03631471440380162,oil_contango_strong,oil,2025-11-04
