date,ovx_level,gate_hmm_no_scaleup,gate_hmm_with_scaleup,prob_calm,prob_normal,prob_stress,state,reason
2007-05-10,27.09,1.0,1.0206161822161695,1.0,2.6035791121289462e-132,4.916771427386839e-212,2,HMM: calm regime (OVX=27.1)
2007-05-11,26.41,1.0,1.0232173926834114,0.999984151336402,1.5847449139293773e-05,1.2133465936872052e-09,2,HMM: calm regime (OVX=26.4)
2007-05-14,27.23,1.0,1.0219997752675802,0.9999835115063106,1.6482526919631546e-05,5.969619275583122e-09,2,HMM: calm regime (OVX=27.2)
2007-05-15,27.89,1.0,1.0201730135462492,0.9999828730008302,1.712084722893734e-05,6.151088812430186e-09,2,HMM: calm regime (OVX=27.9)
2007-05-16,27.07,1.0,1.0202918006514377,0.9999836450906987,1.634928359055308e-05,5.62644592329421e-09,2,HMM: calm regime (OVX=27.1)
2007-05-17,24.86,1.0,1.0238291246393527,0.9999848862476751,1.5109573620679204e-05,4.1784260027234545e-09,2,HMM: calm regime (OVX=24.9)
2007-05-18,24.71,1.0,1.0265774717107914,0.9999876244366518,1.237114954364072e-05,4.415416225666544e-09,2,HMM: calm regime (OVX=24.7)
2007-05-21,24.67,1.0,1.0306440094705156,0.9999825088236275,1.7486997615038425e-05,4.181323825689905e-09,2,HMM: calm regime (OVX=24.7)
2007-05-22,26.03,1.0,1.033464734999146,0.9999865069149485,1.3489694420059979e-05,3.388468907682978e-09,2,HMM: calm regime (OVX=26.0)
2007-05-23,26.35,1.0,1.0345684140243288,0.9999897667162904,1.023061969494965e-05,2.6648268924264865e-09,2,HMM: calm regime (OVX=26.4)
2007-05-24,26.63,1.0,1.0317314621988032,0.9999868808287108,1.3116699184018765e-05,2.472989593551e-09,2,HMM: calm regime (OVX=26.6)
2007-05-25,25.81,1.0,1.029928247144176,0.9999891994085656,1.0795376962261203e-05,5.217294454366446e-09,2,HMM: calm regime (OVX=25.8)
2007-05-29,27.83,1.0,1.0249747765508703,0.9999742508848646,2.574053580212181e-05,8.576721784255117e-09,2,HMM: calm regime (OVX=27.8)
2007-05-30,28.61,1.0,1.0211221794923295,0.9999806850074487,1.9304587532710865e-05,1.0403496784592079e-08,2,HMM: calm regime (OVX=28.6)
2007-05-31,28.44,1.0,1.0180125890109089,0.9999844878296132,1.5507498983077936e-05,4.674629695854665e-09,2,HMM: calm regime (OVX=28.4)
2007-06-01,27.39,1.0,1.0168630964634415,0.9999894619586949,1.0535034018442297e-05,3.0066927077839024e-09,2,HMM: calm regime (OVX=27.4)
2007-06-04,27.36,1.0,1.0144730056737643,0.9999875485202524,1.2449017623407857e-05,2.4614301112941684e-09,2,HMM: calm regime (OVX=27.4)
2007-06-05,26.7,1.0,1.0161631280739911,0.9999888313510167,1.116483587180196e-05,3.813031577708504e-09,2,HMM: calm regime (OVX=26.7)
2007-06-06,25.94,1.0,1.0201583056087715,0.9999808132873879,1.9181651324476244e-05,5.061652163710873e-09,2,HMM: calm regime (OVX=25.9)
2007-06-07,26.11,1.0,1.0236438559984369,0.9999836184029229,1.6377097206622874e-05,4.501312532374903e-09,2,HMM: calm regime (OVX=26.1)
2007-06-08,26.51,1.0,1.0249784443595338,0.999989444052752,1.0553095027964868e-05,2.8506437357975975e-09,2,HMM: calm regime (OVX=26.5)
2007-06-11,25.99,1.0,1.0270822496576266,0.9999884494985469,1.1548474403219769e-05,2.0252131969990504e-09,2,HMM: calm regime (OVX=26.0)
2007-06-12,25.81,1.0,1.0284750046507363,0.9999896508042024,1.0347353001849542e-05,1.8456003118567852e-09,2,HMM: calm regime (OVX=25.8)
2007-06-13,26.07,1.0,1.0282692448366642,0.9999903311067061,9.667253738795269e-06,1.639669136392317e-09,2,HMM: calm regime (OVX=26.1)
2007-06-14,26.35,1.0,1.027893284928631,0.9999902187306337,9.779666456953497e-06,1.6047509215794816e-09,2,HMM: calm regime (OVX=26.4)
2007-06-15,26.41,1.0,1.028048301139187,0.9999900814128382,9.916707938680422e-06,1.8765428125360354e-09,2,HMM: calm regime (OVX=26.4)
2007-06-18,27.15,1.0,1.026258670354173,0.9999882350858517,1.1762600154467315e-05,2.317433516768313e-09,2,HMM: calm regime (OVX=27.1)
2007-06-19,26.72,1.0,1.0248352600587765,0.9999881188174236,1.1878438525264255e-05,2.7426289655444994e-09,2,HMM: calm regime (OVX=26.7)
2007-06-20,27.14,1.0,1.0231871379348196,0.9999874247359345,1.2571911088590984e-05,3.3560830399669344e-09,2,HMM: calm regime (OVX=27.1)
2007-06-21,28.0,1.0,1.0207089118980253,0.999985339598569,1.4656238105666304e-05,4.1638438424302005e-09,2,HMM: calm regime (OVX=28.0)
2007-06-22,28.16,1.0,1.0180930780695752,0.9999852458710615,1.4750161769517118e-05,3.966142584918403e-09,2,HMM: calm regime (OVX=28.2)
2007-06-25,28.01,1.0,1.0168245034023522,0.9999879202952985,1.2076439270346994e-05,3.2669107283661537e-09,2,HMM: calm regime (OVX=28.0)
2007-06-26,27.79,1.0,1.015223448448277,0.9999876643084068,1.233274377387648e-05,2.9454587437611394e-09,2,HMM: calm regime (OVX=27.8)
2007-06-27,28.06,1.0,1.0138675278490883,0.999987345043376,1.2651954959538807e-05,2.999286920481374e-09,2,HMM: calm regime (OVX=28.1)
2007-06-28,27.95,1.0,1.013940026559309,0.9999876211552354,1.2375830419621184e-05,3.011079937355845e-09,2,HMM: calm regime (OVX=27.9)
2007-06-29,27.44,1.0,1.0149919763963802,0.9999871947094536,1.280236397295863e-05,2.928411950043817e-09,2,HMM: calm regime (OVX=27.4)
