date,ovx_level,gate_hmm_no_scaleup,gate_hmm_with_scaleup,state,prob_calm,prob_normal,prob_stress
2007-05-10,27.09,1.0,1.0850501210613965,0,0.859123591348773,0.14087640864932477,2.776421597268399e-130
2007-05-11,26.41,1.0,1.0961967111939728,1,0.17400056870163313,0.8259974205779835,2.010723251306132e-06
2007-05-14,27.23,1.0,1.0909927710205802,0,0.8295374056148784,0.1704622212393781,3.731434781182388e-07
2007-05-15,27.89,1.0,1.0832643045115675,1,0.2025730516562603,0.7974248259014916,2.1224447421944335e-06
2007-05-16,27.07,1.0,1.0837497243391245,0,0.8019298074886038,0.1980697667125405,4.2580108969337307e-07
2007-05-17,24.86,1.0,1.0991878532899026,1,0.22926035329610936,0.7707378519045867,1.7947983203828491e-06
2007-05-18,24.71,1.0,1.1112955083354452,0,0.7761285087598301,0.22387113300833614,3.5822890232873496e-07
2007-05-21,24.67,1.0,1.1290577733983373,1,0.25430622703430755,0.7456917508907868,2.0220779179878233e-06
2007-05-22,26.03,1.0,1.1410933939372434,0,0.7518464398464683,0.24815312872297027,4.314292475789536e-07
2007-05-23,26.35,1.0,1.1458271160642757,1,0.2779107949352659,0.7220879735296557,1.2315349580721907e-06
2007-05-24,26.63,1.0,1.1333827041792695,0,0.7290619378841989,0.2709375218616203,5.402533223553897e-07
2007-05-25,25.81,1.0,1.1253843130189776,1,0.30092146162731165,0.6990771332486494,1.4051219816980529e-06
2007-05-29,27.83,1.0,1.1038864478474426,0,0.7066211759239371,0.2933775225148719,1.30156240070833e-06
2007-05-30,28.61,1.0,1.0875714998936348,1,0.3237773791668771,0.6762195479094265,3.07292060306277e-06
2007-05-31,28.44,1.0,1.0744287533689503,0,0.6842555604870014,0.3157436661529236,7.733630845367327e-07
2007-06-01,27.39,1.0,1.0695314327032002,1,0.34530083023044505,0.6546977849623146,1.3848039428936322e-06
2007-06-04,27.36,1.0,1.0592485983269764,0,0.6630354863063326,0.3369639213884606,5.923021050635922e-07
2007-06-05,26.7,1.0,1.066409409409577,1,0.3663566687894291,0.6336420110708652,1.3201425318738188e-06
2007-06-06,25.94,1.0,1.0833460270510091,0,0.6420714144805043,0.35792782586617766,7.596565962666317e-07
2007-06-07,26.11,1.0,1.0981188161231112,1,0.3866481102742493,0.6133500678142739,1.821913031036371e-06
2007-06-08,26.51,1.0,1.1038124708553068,0,0.6221879788421754,0.37781156480335615,4.563580480697244e-07
2007-06-11,25.99,1.0,1.1128446018580742,1,0.4064340508994318,0.5935646227420949,1.3263600079887543e-06
2007-06-12,25.81,1.0,1.1188803368999174,0,0.6027010491962459,0.39729850479556844,4.460116250298617e-07
2007-06-13,26.07,1.0,1.1179836098442288,1,0.42555249250892857,0.5744463603919433,1.1470998542703612e-06
2007-06-14,26.35,1.0,1.116353567296811,0,0.5839405064124981,0.41605903133766675,4.6224848032737124e-07
2007-06-15,26.41,1.0,1.1170221522176245,1,0.44431721603105734,0.5556810838841755,1.7000818985045686e-06
2007-06-18,27.15,1.0,1.1093212066589007,0,0.5654062615242055,0.43459254563201866,1.192844378575572e-06
2007-06-19,26.72,1.0,1.1031539993854231,1,0.463019487258255,0.5369779805437163,2.5321981363617298e-06
2007-06-20,27.14,1.0,1.0960677825494196,0,0.5467780724982946,0.45322108839072434,8.391109638878384e-07
2007-06-21,28.0,1.0,1.0855449631908805,1,0.4815782150331745,0.5184188479729905,2.936996259011489e-06
2007-06-22,28.16,1.0,1.0744642612328537,0,0.528457036732184,0.4715417625824781,1.2006826380634518e-06
2007-06-25,28.01,1.0,1.0691268034349886,1,0.4999180979840903,0.5000791787218194,2.723294785864233e-06
2007-06-26,27.79,1.0,1.062341985146693,0,0.5099718361940978,0.49002748564930476,6.781590432208687e-07
2007-06-27,28.06,1.0,1.056639425778942,1,0.5184155107124262,0.4815828960430301,1.5932410032550884e-06
2007-06-28,27.95,1.0,1.0569418392345202,0,0.49138358920222536,0.5086158271851403,5.836150953953612e-07
2007-06-29,27.44,1.0,1.0613466781503462,1,0.5366693579193537,0.4633291491322547,1.4929448357791943e-06
2007-07-02,27.52,1.0,1.0643509944419858,0,0.47300342232433995,0.5269959733209724,6.043577193335052e-07
2007-07-03,27.45,1.0,1.0664552918017756,1,0.5552252252319797,0.44477313743051505,1.6373362840039443e-06
2007-07-05,27.33,1.0,1.0709518555153588,0,0.4543600893592871,0.545639107928136,8.027120646262219e-07
2007-07-06,27.4,1.0,1.0743438720868983,1,0.573887244001719,0.4261107693003322,1.986700155806503e-06
2007-07-09,28.25,1.0,1.0694026521073952,0,0.4355140002829771,0.5644849890446909,1.0106688855837129e-06
2007-07-10,27.37,1.0,1.070341677089702,1,0.5934225540037372,0.40657531590332907,2.130091163280416e-06
2007-07-11,27.69,1.0,1.068851461987249,0,0.41555149988256374,0.5844474413438872,1.0587699450965807e-06
2007-07-12,27.35,1.0,1.0687253925795344,1,0.6136291739488418,0.3863682318124599,2.5942420595574276e-06
2007-07-13,27.06,1.0,1.0708842520256352,0,0.39494251175281064,0.6050566144852779,8.737636199697505e-07
2007-07-16,28.0,1.0,1.0723818582803926,1,0.6343210701837235,0.3656753834687967,3.546348212167829e-06
2007-07-17,27.46,1.0,1.0718173352965379,0,0.37384059881743387,0.6261584839664162,9.172137534693159e-07
2007-07-18,27.91,1.0,1.0704715841878876,1,0.6558573145556519,0.34413902285503256,3.6625899389044237e-06
2007-07-19,27.4,1.0,1.0701571354435075,0,0.3518562260665199,0.648142794283789,9.796513924122164e-07
2007-07-20,26.69,1.0,1.0725626541927689,1,0.6781546594640857,0.3218429947098675,2.3458278095455994e-06
2007-07-23,27.09,1.0,1.0782234949066847,0,0.32898375301203225,0.6710154709849679,7.760009819095801e-07
2007-07-24,27.42,1.0,1.0784739822455451,1,0.7014359467283402,0.29856145191806727,2.6013535208942366e-06
2007-07-25,26.84,1.0,1.0852053403600508,0,0.3052491797363849,0.6947500833461517,7.369177488360122e-07
2007-07-26,27.79,1.0,1.0827876254233566,1,0.7254742051439087,0.27452299290126714,2.801953795354267e-06
2007-07-27,27.25,1.0,1.0791697081487057,0,0.2807504619761449,0.7192487594145928,7.786079206719702e-07
2007-07-30,30.16,0.9991507423804669,1.061310426316893,1,0.7506143282609183,0.2493724371430378,1.3234597972549586e-05
2007-07-31,30.69,0.9955453180940023,1.0427868789809611,0,0.25555370067403677,0.7444419807695213,4.318558541386208e-06
2007-08-01,29.73,0.9955453180940023,1.0256130539515917,1,0.7770257780915085,0.22296613109382227,8.09081363882801e-06
2007-08-02,29.68,0.9955453180940023,1.0147103708112615,0,0.22827083962655895,0.7717280495304051,1.110842127743113e-06
2007-08-03,29.32,0.9955453180940023,1.0024225466575585,1,0.8046323557327206,0.1953632208013677,4.423467805246951e-06
2007-08-06,32.49,0.9840353560485028,0.990912584612059,0,0.19977838282937413,0.8002169008905943,4.716281157181097e-06
2007-08-07,29.48,0.9876407803349674,0.997335317867557,1,0.833757055787321,0.16623899623695398,3.947978067984703e-06
2007-08-08,27.07,0.9876407803349674,1.0130218357748177,0,0.16937233308146613,0.8306271388416773,5.280745180588347e-07
2007-08-09,29.73,0.9876407803349674,1.0127503831489704,1,0.8647538486740519,0.13524200749789989,4.14382884189248e-06
2007-08-10,30.87,0.9831186943134445,1.0045260468349582,0,0.13746665785647325,0.8625315328235553,1.8093206479434298e-06
2007-08-13,30.82,0.9912094895036182,1.012616842025132,1,0.8982073473619142,0.10178080557651435,1.1847063451652536e-05
2007-08-14,30.23,0.989991226710219,1.0085812702626993,0,0.10261835012892748,0.896989666356534,0.000391983513169742
