date,ovx_level,gate_hmm_no_scaleup,gate_hmm_with_scaleup,state
2007-05-10,27.09,1.0,1.0451796593944396,1
2007-05-11,26.41,1.0,1.071559465987216,0
2007-05-14,27.23,1.0,1.061989311806551,1
2007-05-15,27.89,1.0,1.0602215402418487,0
2007-05-16,27.07,1.0,1.0572800360880372,1
2007-05-17,24.86,1.0,1.0777873135563512,0
2007-05-18,24.71,1.0,1.075728237217434,1
2007-05-21,24.67,1.0,1.0979963119758598,0
2007-05-22,26.03,1.0,1.0996935202685927,1
2007-05-23,26.35,1.0,1.1105450094114384,0
2007-05-24,26.63,1.0,1.091593939934684,1
2007-05-25,25.81,1.0,1.0973837068109777,0
2007-05-29,27.83,1.0,1.0731561638049982,1
2007-05-30,28.61,1.0,1.0675533414327176,0
2007-05-31,28.44,1.0,1.0522783590590858,1
2007-06-01,27.39,1.0,1.0554864927490708,0
2007-06-04,27.36,1.0,1.04030797716726,1
2007-06-05,26.7,1.0,1.0515345197024588,0
2007-06-06,25.94,1.0,1.0574566039319206,1
2007-06-07,26.11,1.0,1.0742119207034633,0
2007-06-08,26.51,1.0,1.0714161028797524,1
2007-06-11,25.99,1.0,1.0854597449242642,0
2007-06-12,25.81,1.0,1.0810869542193497,1
2007-06-13,26.07,1.0,1.089770483776044,0
2007-06-14,26.35,1.0,1.0798942458773273,1
2007-06-15,26.41,1.0,1.0884776446566045,0
2007-06-18,27.15,1.0,1.0751297127513704,1
2007-06-19,26.72,1.0,1.0793829609433725,0
2007-06-20,27.14,1.0,1.0665683770647811,1
2007-06-21,28.0,1.0,1.0653856859315076,0
2007-06-22,28.16,1.0,1.0513560685454693,1
2007-06-25,28.01,1.0,1.0528409646759707,0
2007-06-26,27.79,1.0,1.0418627062951686,1
2007-06-27,28.06,1.0,1.0430394780076742,0
2007-06-28,27.95,1.0,1.0388894728614377,1
2007-06-29,27.44,1.0,1.0468458463656227,0
2007-07-02,27.52,1.0,1.0441402910731903,1
2007-07-03,27.45,1.0,1.0508588032651585,0
2007-07-05,27.33,1.0,1.0490519179704105,1
2007-07-06,27.4,1.0,1.0565692934178537,0
2007-07-09,28.25,1.0,1.0483290467979736,1
2007-07-10,27.37,1.0,1.0546287582798237,0
2007-07-11,27.69,1.0,1.048233265258183,1
2007-07-12,27.35,1.0,1.0540237733232576,0
2007-07-13,27.06,1.0,1.0494169710787336,1
2007-07-16,28.0,1.0,1.054518305467793,0
2007-07-17,27.46,1.0,1.0484149361217443,1
2007-07-18,27.91,1.0,1.0522256433779442,0
2007-07-19,27.4,1.0,1.0462045684455465,1
2007-07-20,26.69,1.0,1.0549650064324738,0
2007-07-23,27.09,1.0,1.0536252399080372,1
