date,ticker,signal_12m,signal_type,calculation_date
2003-01-02 16:00:00,EWJ,,12m_minus_1,2025-10-30
2003-01-02 16:00:00,FEZ,,12m_minus_1,2025-10-30
2003-01-02 16:00:00,SPY,,12m_minus_1,2025-10-30
2003-01-03 16:00:00,EWJ,,12m_minus_1,2025-10-30
2003-01-03 16:00:00,FEZ,,12m_minus_1,2025-10-30
2003-01-03 16:00:00,SPY,,12m_minus_1,2025-10-30
2003-01-06 16:00:00,EWJ,,12m_minus_1,2025-10-30
2003-01-06 16:00:00,FEZ,,12m_minus_1,2025-10-30
2003-01-06 16:00:00,SPY,,12m_minus_1,2025-10-30
2003-01-07 16:00:00,EWJ,,12m_minus_1,2025-10-30
2003-01-07 16:00:00,FEZ,,12m_minus_1,2025-10-30
2003-01-07 16:00:00,SPY,,12m_minus_1,2025-10-30
2003-01-08 16:00:00,EWJ,,12m_minus_1,2025-10-30
2003-01-08 16:00:00,FEZ,,12m_minus_1,2025-10-30
2003-01-08 16:00:00,SPY,,12m_minus_1,2025-10-30
2003-01-09 16:00:00,EWJ,,12m_minus_1,2025-10-30
2003-01-09 16:00:00,FEZ,,12m_minus_1,2025-10-30
2003-01-09 16:00:00,SPY,,12m_minus_1,2025-10-30
2003-01-10 16:00:00,EWJ,,12m_minus_1,2025-10-30
2003-01-10 16:00:00,FEZ,,12m_minus_1,2025-10-30
2003-01-10 16:00:00,SPY,,12m_minus_1,2025-10-30
2003-01-13 16:00:00,EWJ,,12m_minus_1,2025-10-30
2003-01-13 16:00:00,FEZ,,12m_minus_1,2025-10-30
2003-01-13 16:00:00,SPY,,12m_minus_1,2025-10-30
2003-01-14 16:00:00,EWJ,,12m_minus_1,2025-10-30
2003-01-14 16:00:00,FEZ,,12m_minus_1,2025-10-30
2003-01-14 16:00:00,SPY,,12m_minus_1,2025-10-30
2003-01-15 16:00:00,EWJ,,12m_minus_1,2025-10-30
2003-01-15 16:00:00,FEZ,,12m_minus_1,2025-10-30
2003-01-15 16:00:00,SPY,,12m_minus_1,2025-10-30
2003-01-16 16:00:00,EWJ,,12m_minus_1,2025-10-30
2003-01-16 16:00:00,FEZ,,12m_minus_1,2025-10-30
2003-01-16 16:00:00,SPY,,12m_minus_1,2025-10-30
2003-01-17 16:00:00,EWJ,,12m_minus_1,2025-10-30
2003-01-17 16:00:00,FEZ,,12m_minus_1,2025-10-30
2003-01-17 16:00:00,SPY,,12m_minus_1,2025-10-30
2003-01-21 16:00:00,EWJ,,12m_minus_1,2025-10-30
2003-01-21 16:00:00,FEZ,,12m_minus_1,2025-10-30
2003-01-21 16:00:00,SPY,,12m_minus_1,2025-10-30
2003-01-22 16:00:00,EWJ,,12m_minus_1,2025-10-30
2003-01-22 16:00:00,FEZ,,12m_minus_1,2025-10-30
2003-01-22 16:00:00,SPY,,12m_minus_1,2025-10-30
2003-01-23 16:00:00,EWJ,,12m_minus_1,2025-10-30
2003-01-23 16:00:00,FEZ,,12m_minus_1,2025-10-30
2003-01-23 16:00:00,SPY,,12m_minus_1,2025-10-30
2003-01-24 16:00:00,EWJ,,12m_minus_1,2025-10-30
2003-01-24 16:00:00,FEZ,,12m_minus_1,2025-10-30
2003-01-24 16:00:00,SPY,,12m_minus_1,2025-10-30
2003-01-27 16:00:00,EWJ,,12m_minus_1,2025-10-30
2003-01-27 16:00:00,FEZ,,12m_minus_1,2025-10-30
2003-01-27 16:00:00,SPY,,12m_minus_1,2025-10-30
2003-01-28 16:00:00,EWJ,,12m_minus_1,2025-10-30
2003-01-28 16:00:00,FEZ,,12m_minus_1,2025-10-30
2003-01-28 16:00:00,SPY,,12m_minus_1,2025-10-30
2003-01-29 16:00:00,EWJ,,12m_minus_1,2025-10-30
2003-01-29 16:00:00,FEZ,,12m_minus_1,2025-10-30
2003-01-29 16:00:00,SPY,,12m_minus_1,2025-10-30
2003-01-30 16:00:00,EWJ,,12m_minus_1,2025-10-30
2003-01-30 16:00:00,FEZ,,12m_minus_1,2025-10-30
2003-01-30 16:00:00,SPY,,12m_minus_1,2025-10-30
2003-01-31 16:00:00,EWJ,,12m_minus_1,2025-10-30
2003-01-31 16:00:00,FEZ,,12m_minus_1,2025-10-30
2003-01-31 16:00:00,SPY,,12m_minus_1,2025-10-30
2003-02-03 16:00:00,EWJ,,12m_minus_1,2025-10-30
2003-02-03 16:00:00,FEZ,,12m_minus_1,2025-10-30
2003-02-03 16:00:00,SPY,,12m_minus_1,2025-10-30
2003-02-04 16:00:00,EWJ,,12m_minus_1,2025-10-30
2003-02-04 16:00:00,FEZ,,12m_minus_1,2025-10-30
2003-02-04 16:00:00,SPY,,12m_minus_1,2025-10-30
2003-02-05 16:00:00,EWJ,,12m_minus_1,2025-10-30
2003-02-05 16:00:00,FEZ,,12m_minus_1,2025-10-30
2003-02-05 16:00:00,SPY,,12m_minus_1,2025-10-30
2003-02-06 16:00:00,EWJ,,12m_minus_1,2025-10-30
2003-02-06 16:00:00,FEZ,,12m_minus_1,2025-10-30
2003-02-06 16:00:00,SPY,,12m_minus_1,2025-10-30
2003-02-07 16:00:00,EWJ,,12m_minus_1,2025-10-30
2003-02-07 16:00:00,FEZ,,12m_minus_1,2025-10-30
